date,actual,foundation_model
2016-05-21 02:00:00,340,337.67822
2016-05-21 03:00:00,290,334.77515
2016-05-21 04:00:00,340,327.2656
2016-05-21 05:00:00,310,337.57758
2016-05-21 06:00:00,360,383.6239
2016-05-21 07:00:00,340,477.80493
2016-05-21 08:00:00,1250,616.9029
2016-05-21 09:00:00,1860,783.9734
2016-05-21 10:00:00,2300,882.8051
2016-05-21 11:00:00,2590,972.1544
2016-05-21 12:00:00,1370,852.8353
2016-05-21 13:00:00,2060,732.97174
2016-05-21 14:00:00,1820,680.03094
2016-05-21 15:00:00,2170,670.28125
2016-05-21 16:00:00,600,709.8055
2016-05-21 17:00:00,570,839.479
2016-05-21 18:00:00,750,927.86316
2016-05-21 19:00:00,650,723.05634
2016-05-21 20:00:00,570,606.3677
2016-05-21 21:00:00,810,498.75146
2016-05-21 22:00:00,440,431.71262
2016-05-21 23:00:00,890,404.03983
2016-05-22 00:00:00,360,391.69965
2016-05-22 01:00:00,340,385.96716
2016-05-22 02:00:00,310,380.15082
2016-05-22 03:00:00,320,372.70343
2016-05-22 04:00:00,330,370.24316
2016-05-22 05:00:00,300,377.9322
2016-05-22 06:00:00,350,402.34943
2016-05-22 07:00:00,380,464.08856
2016-05-22 08:00:00,1140,561.5553
2016-05-22 09:00:00,680,640.2621
2016-05-22 10:00:00,1210,645.67114
2016-05-22 11:00:00,2060,612.8825
2016-05-22 12:00:00,760,564.12054
2016-05-22 13:00:00,620,516.16064
2016-05-22 14:00:00,640,478.3998
2016-05-22 15:00:00,580,486.4228
2016-05-22 16:00:00,530,592.7559
2016-05-22 17:00:00,1590,797.09546
2016-05-22 18:00:00,720,794.5766
2016-05-22 19:00:00,580,698.6599
2016-05-22 20:00:00,700,601.0587
2016-05-22 21:00:00,530,492.23984
2016-05-22 22:00:00,470,426.8496
2016-05-22 23:00:00,360,396.60016
2016-05-23 00:00:00,350,386.95392
2016-05-23 01:00:00,310,381.15866
2016-05-23 02:00:00,350,371.8193
2016-05-23 03:00:00,310,367.61023
2016-05-23 04:00:00,300,380.79547
2016-05-23 05:00:00,400,383.56863
2016-05-23 06:00:00,360,394.05176
2016-05-23 07:00:00,340,404.66833
2016-05-23 08:00:00,310,427.33606
2016-05-23 09:00:00,330,438.3881
2016-05-23 10:00:00,310,446.6408
2016-05-23 11:00:00,340,458.96356
2016-05-23 12:00:00,370,469.1886
2016-05-23 13:00:00,340,468.80786
2016-05-23 14:00:00,350,460.8989
2016-05-23 15:00:00,440,480.5497
2016-05-23 16:00:00,940,586.8792
2016-05-23 17:00:00,2280,805.8728
2016-05-23 18:00:00,740,843.1882
2016-05-23 19:00:00,720,732.3489
2016-05-23 20:00:00,630,630.1518
2016-05-23 21:00:00,410,517.106
2016-05-23 22:00:00,380,430.944
2016-05-23 23:00:00,350,393.8415
2016-05-24 00:00:00,300,380.54187
2016-05-24 01:00:00,340,372.80164
2016-05-24 02:00:00,330,368.0211
2016-05-24 03:00:00,320,373.52228
2016-05-24 04:00:00,320,384.63556
2016-05-24 05:00:00,640,391.27292
2016-05-24 06:00:00,430,405.79932
2016-05-24 07:00:00,970,424.3062
2016-05-24 08:00:00,340,440.06665
2016-05-24 09:00:00,230,431.1723
2016-05-24 10:00:00,400,443.61337
2016-05-24 11:00:00,610,432.66504
2016-05-24 12:00:00,770,444.89056
2016-05-24 13:00:00,710,441.72354
2016-05-24 14:00:00,900,422.78766
2016-05-24 15:00:00,850,440.8904
2016-05-24 16:00:00,850,564.4706
2016-05-24 17:00:00,1220,800.40436
2016-05-24 18:00:00,820,794.7365
2016-05-24 19:00:00,740,714.4207
2016-05-24 20:00:00,580,621.04395
2016-05-24 21:00:00,460,510.85382
2016-05-24 22:00:00,370,437.99658
2016-05-24 23:00:00,350,402.63043
2016-05-25 00:00:00,320,393.59616
2016-05-25 01:00:00,320,383.7236
2016-05-25 02:00:00,340,380.6099
2016-05-25 03:00:00,290,382.57202
2016-05-25 04:00:00,330,389.6007
2016-05-25 05:00:00,330,399.5263
2016-05-25 06:00:00,330,420.15546
2016-05-25 07:00:00,390,441.6983
2016-05-25 08:00:00,500,454.851
2016-05-25 09:00:00,540,459.46265
2016-05-25 10:00:00,470,464.40195
2016-05-25 11:00:00,300,473.24677
2016-05-25 12:00:00,360,479.80148
2016-05-25 13:00:00,430,483.5244
2016-05-25 14:00:00,480,467.37006
2016-05-25 15:00:00,480,488.5714
2016-05-25 16:00:00,1390,612.08124
2016-05-25 17:00:00,710,824.64435
2016-05-25 18:00:00,940,831.0067
2016-05-25 19:00:00,710,758.7528
2016-05-25 20:00:00,1140,643.8085
2016-05-25 21:00:00,340,518.5486
2016-05-25 22:00:00,320,446.34933
2016-05-25 23:00:00,320,408.22736
2016-05-26 00:00:00,320,394.1679
2016-05-26 01:00:00,330,385.74164
2016-05-26 02:00:00,300,383.09656
2016-05-26 03:00:00,340,379.95087
2016-05-26 04:00:00,300,387.63208
2016-05-26 05:00:00,340,397.60333
2016-05-26 06:00:00,370,431.11914
2016-05-26 07:00:00,600,459.56277
2016-05-26 08:00:00,940,486.94812
2016-05-26 09:00:00,1660,496.5269
2016-05-26 10:00:00,1590,509.23837
2016-05-26 11:00:00,1460,517.4749
2016-05-26 12:00:00,1330,519.119
2016-05-26 13:00:00,450,515.73236
2016-05-26 14:00:00,410,506.11734
2016-05-26 15:00:00,370,525.68353
2016-05-26 16:00:00,2970,651.5623
2016-05-26 17:00:00,2640,950.2755
2016-05-26 18:00:00,1290,905.4243
2016-05-26 19:00:00,1340,770.9077
2016-05-26 20:00:00,550,646.79706
2016-05-26 21:00:00,460,528.04205
2016-05-26 22:00:00,420,445.43042
2016-05-26 23:00:00,390,404.2223
2016-05-27 00:00:00,360,395.27216
2016-05-27 01:00:00,350,386.91116
2016-05-27 02:00:00,300,384.3114
2016-05-27 03:00:00,350,389.28467
2016-05-27 04:00:00,350,392.96838
2016-05-27 05:00:00,350,403.85013
2016-05-27 06:00:00,380,467.47705
2016-05-27 07:00:00,670,585.62286
2016-05-27 08:00:00,780,694.5249
2016-05-27 09:00:00,1510,724.87024
2016-05-27 10:00:00,1510,791.0652
2016-05-27 11:00:00,1860,835.77966
2016-05-27 12:00:00,1110,817.7868
2016-05-27 13:00:00,1590,790.66516
2016-05-27 14:00:00,610,736.4006
2016-05-27 15:00:00,460,716.3396
2016-05-27 16:00:00,810,786.7481
2016-05-27 17:00:00,1080,964.28064
2016-05-27 18:00:00,430,931.6256
